Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY54313426,,-0.005,-0.0757271554321051,0.153486160561442,,-0.005,2.12500094622374,
Firmware Version:,02.65.2021030741,,-0.004958333335,-0.0757271554321051,0.153486160561442,,-0.004958333335,2.12500094622374,
Start Time:,2023-03-01 15:40:45.373,,-0.00491666667,-0.0757271554321051,0.153486160561442,,-0.00491666667,2.12500094622374,
,,,-0.004875000005,-0.0757271554321051,0.153486160561442,,-0.004875000005,2.12500094622374,
Analog Sample Count:,960,,-0.00483333334,-0.080752280075103,0.153486160561442,,-0.00483333334,2.12500094622374,
Function Sample Count:,960,,-0.004791666675,-0.0757271554321051,0.153486160561442,,-0.004791666675,2.12500094622374,
Waveform Memory Sample Count:,0,,-0.00475000001,-0.0757271554321051,0.153486160561442,,-0.00475000001,2.12500094622374,
Digital Sample Count:,0,,-0.004708333345,-0.0757271554321051,0.153486160561442,,-0.004708333345,2.12500094622374,
,,,-0.00466666668,-0.080752280075103,0.153486160561442,,-0.00466666668,2.12500094622374,
Setup Text Information:,,,-0.004625000015,-0.0757271554321051,0.153486160561442,,-0.004625000015,2.12500094622374,
ANALOG,,,-0.00458333335,-0.080752280075103,0.153486160561442,,-0.00458333335,2.12500094622374,
Channel 1,,,-0.004541666685,-0.0757271554321051,0.153486160561442,,-0.004541666685,2.12500094622374,
Scale,2 V/,,-0.00450000002,-0.0757271554321051,0.153486160561442,,-0.00450000002,2.12500094622374,
Pos,9.07 V,,-0.004458333355,-0.0757271554321051,0.153486160561442,,-0.004458333355,2.12500094622374,
Coup,,,-0.00441666669,-0.0757271554321051,0.153486160561442,,-0.00441666669,2.12500094622374,
BW,Off,,-0.004375000025,-0.080752280075103,0.153486160561442,,-0.004375000025,2.12500094622374,
Inv,Off,,-0.00433333336,-0.0757271554321051,0.153486160561442,,-0.00433333336,2.12500094622374,
Imp,1M Ohm,,-0.004291666695,-0.0757271554321051,0.153486160561442,,-0.004291666695,2.12500094622374,
Trace Label,1,,-0.00425000003,-0.0757271554321051,0.153486160561442,,-0.00425000003,2.12500094622374,
Probe,1,,-0.004208333365,-0.080752280075103,0.153486160561442,,-0.004208333365,2.12500094622374,
Skew,0 s,,-0.0041666667,-0.0757271554321051,0.153486160561442,,-0.0041666667,2.12500094622374,
,,,-0.004125000035,-0.080752280075103,0.153486160561442,,-0.004125000035,2.12500094622374,
Channel 2,,,-0.00408333337,-0.0757271554321051,0.153486160561442,,-0.00408333337,2.12500094622374,
Scale,500 mV/,,-0.004041666705,-0.0757271554321051,0.153486160561442,,-0.004041666705,2.12500094622374,
Pos,2.70625 V,,-0.00400000004,-0.0757271554321051,0.153486160561442,,-0.00400000004,2.12500094622374,
Coup,,,-0.003958333375,-0.0757271554321051,0.153486160561442,,-0.003958333375,2.12500094622374,
BW,Off,,-0.00391666671,-0.0757271554321051,0.153486160561442,,-0.00391666671,2.12500094622374,
Inv,Off,,-0.003875000045,-0.080752280075103,0.153486160561442,,-0.003875000045,2.12500094622374,
Imp,1M Ohm,,-0.00383333338,-0.0757271554321051,0.153486160561442,,-0.00383333338,2.12500094622374,
Trace Label,2,,-0.003791666715,-0.0707020307891071,0.153486160561442,,-0.003791666715,2.12500094622374,
Probe,1,,-0.00375000005,-0.0757271554321051,0.153486160561442,,-0.00375000005,2.12500094622374,
Skew,0 s,,-0.003708333385,-0.0757271554321051,0.153486160561442,,-0.003708333385,2.12500094622374,
,,,-0.00366666672,-0.0757271554321051,0.153486160561442,,-0.00366666672,2.12500094622374,
MATH,,,-0.003625000055,-0.080752280075103,0.153486160561442,,-0.003625000055,2.12500094622374,
Ch 1-Ch 2,,,-0.00358333339,-0.080752280075103,0.153486160561442,,-0.00358333339,2.12500094622374,
Scale,2 /,,-0.003541666725,-0.080752280075103,0.153486160561442,,-0.003541666725,2.12500094622374,
Offset,10.0625 ,,-0.00350000006,-0.0757271554321051,0.153486160561442,,-0.00350000006,2.12500094622374,
,,,-0.003458333395,-0.0757271554321051,0.153486160561442,,-0.003458333395,2.12500094622374,
REFERENCE WAVEFORM,,,-0.00341666673,-0.0757271554321051,0.153486160561442,,-0.00341666673,2.12500094622374,
TRIGGER,,,-0.003375000065,-0.080752280075103,0.153486160561442,,-0.003375000065,2.12500094622374,
Sweep Mode,AUTO,,-0.0033333334,-0.0757271554321051,0.153486160561442,,-0.0033333334,2.12500094622374,
Coup,DC,,-0.003291666735,-0.0757271554321051,0.153486160561442,,-0.003291666735,2.12500094622374,
Noise Rej,Off,,-0.00325000007,-0.0757271554321051,0.153486160561442,,-0.00325000007,2.12500094622374,
HF Rej,Off,,-0.003208333405,-0.0757271554321051,0.153486160561442,,-0.003208333405,2.12500094622374,
Holdoff,40.0 ns,,-0.00316666674,-0.080752280075103,0.153486160561442,,-0.00316666674,2.12500094622374,
Mode,EDGE,,-0.003125000075,-0.0757271554321051,0.153486160561442,,-0.003125000075,2.12500094622374,
Source,CHAN1,,-0.00308333341,-0.080752280075103,0.153486160561442,,-0.00308333341,2.12500094622374,
Slope,POS,,-0.003041666745,-0.0757271554321051,0.153486160561442,,-0.003041666745,2.12500094622374,
Level,242.5 mV V,,-0.00300000008,-0.080752280075103,0.153486160561442,,-0.00300000008,2.12500094622374,
,,,-0.002958333415,-0.0757271554321051,0.153486160561442,,-0.002958333415,2.12500094622374,
HORIZONTAL,,,-0.00291666675,-0.080752280075103,0.153486160561442,,-0.00291666675,2.12500094622374,
Mode,MAIN,,-0.002875000085,-0.080752280075103,0.153486160561442,,-0.002875000085,2.12500094622374,
Ref,CENT,,-0.00283333342,-0.080752280075103,0.153486160561442,,-0.00283333342,2.12500094622374,
Main Scale,4 ms/,,-0.002791666755,-0.0757271554321051,0.153486160561442,,-0.002791666755,2.12500094622374,
Main Delay,15 ms,,-0.00275000009,-0.0757271554321051,0.153486160561442,,-0.00275000009,2.12500094622374,
,,,-0.002708333425,-0.0757271554321051,0.153486160561442,,-0.002708333425,2.12500094622374,
ACQUISITION,,,-0.00266666676,-0.080752280075103,0.153486160561442,,-0.00266666676,2.12500094622374,
Mode,HRES,,-0.002625000095,-0.0757271554321051,0.153486160561442,,-0.002625000095,2.12500094622374,
RealTime,On,,-0.00258333343,-0.080752280075103,0.153486160561442,,-0.00258333343,2.12500094622374,
Vectors,On,,-0.002541666765,-0.0757271554321051,0.153486160561442,,-0.002541666765,2.12500094622374,
Persistence,Off,,-0.0025000001,-0.0757271554321051,0.153486160561442,,-0.0025000001,2.12500094622374,
,,,-0.002458333435,-0.0757271554321051,0.153486160561442,,-0.002458333435,2.12500094622374,
,,,-0.00241666677,-0.0757271554321051,0.153486160561442,,-0.00241666677,2.12500094622374,
,,,-0.002375000105,-0.080752280075103,0.153486160561442,,-0.002375000105,2.12500094622374,
,,,-0.00233333344,-0.0707020307891071,0.153486160561442,,-0.00233333344,2.12500094622374,
,,,-0.002291666775,-0.0757271554321051,0.153486160561442,,-0.002291666775,2.12500094622374,
,,,-0.00225000011,-0.0757271554321051,0.153486160561442,,-0.00225000011,2.12500094622374,
,,,-0.002208333445,-0.0757271554321051,0.153486160561442,,-0.002208333445,2.12500094622374,
,,,-0.00216666678,-0.0757271554321051,0.153486160561442,,-0.00216666678,2.12500094622374,
,,,-0.002125000115,-0.080752280075103,0.153486160561442,,-0.002125000115,2.12500094622374,
,,,-0.00208333345,-0.080752280075103,0.153486160561442,,-0.00208333345,2.12500094622374,
,,,-0.002041666785,-0.080752280075103,0.153486160561442,,-0.002041666785,2.12500094622374,
,,,-0.00200000012,-0.0757271554321051,0.153486160561442,,-0.00200000012,2.12500094622374,
,,,-0.001958333455,-0.080752280075103,0.153486160561442,,-0.001958333455,2.12500094622374,
,,,-0.00191666679,-0.0757271554321051,0.153486160561442,,-0.00191666679,2.12500094622374,
,,,-0.001875000125,-0.080752280075103,0.153486160561442,,-0.001875000125,2.12500094622374,
,,,-0.00183333346,-0.0757271554321051,0.153486160561442,,-0.00183333346,2.12500094622374,
,,,-0.001791666795,-0.080752280075103,0.153486160561442,,-0.001791666795,2.12500094622374,
,,,-0.00175000013,-0.080752280075103,0.153486160561442,,-0.00175000013,2.12500094622374,
,,,-0.001708333465,-0.080752280075103,0.153486160561442,,-0.001708333465,2.12500094622374,
,,,-0.0016666668,-0.0757271554321051,0.153486160561442,,-0.0016666668,2.12500094622374,
,,,-0.001625000135,-0.0757271554321051,0.153486160561442,,-0.001625000135,2.12500094622374,
,,,-0.00158333347,-0.0757271554321051,0.153486160561442,,-0.00158333347,2.12500094622374,
,,,-0.001541666805,-0.080752280075103,0.153486160561442,,-0.001541666805,2.12500094622374,
,,,-0.00150000014,-0.080752280075103,0.153486160561442,,-0.00150000014,2.12500094622374,
,,,-0.001458333475,-0.080752280075103,0.153486160561442,,-0.001458333475,2.12500094622374,
,,,-0.00141666681,-0.0757271554321051,0.153486160561442,,-0.00141666681,2.12500094622374,
,,,-0.001375000145,-0.080752280075103,0.153486160561442,,-0.001375000145,2.12500094622374,
,,,-0.00133333348,-0.080752280075103,0.153486160561442,,-0.00133333348,2.12500094622374,
,,,-0.001291666815,-0.0757271554321051,0.153486160561442,,-0.001291666815,2.12500094622374,
,,,-0.00125000015,-0.0757271554321051,0.153486160561442,,-0.00125000015,2.12500094622374,
,,,-0.001208333485,-0.0757271554321051,0.153486160561442,,-0.001208333485,2.12500094622374,
,,,-0.00116666682,-0.080752280075103,0.153486160561442,,-0.00116666682,2.12500094622374,
,,,-0.001125000155,-0.080752280075103,0.153486160561442,,-0.001125000155,2.12500094622374,
,,,-0.00108333349,-0.080752280075103,0.153486160561442,,-0.00108333349,2.12500094622374,
,,,-0.001041666825,-0.0757271554321051,0.153486160561442,,-0.001041666825,2.12500094622374,
,,,-0.00100000016,-0.0757271554321051,0.153486160561442,,-0.00100000016,2.12500094622374,
,,,-0.000958333495,-0.080752280075103,0.153486160561442,,-0.000958333495,2.12500094622374,
,,,-0.00091666683,-0.0757271554321051,0.153486160561442,,-0.00091666683,2.12500094622374,
,,,-0.000875000165,-0.0757271554321051,0.153486160561442,,-0.000875000165,2.12500094622374,
,,,-0.0008333335,-0.0757271554321051,0.153486160561442,,-0.0008333335,2.12500094622374,
,,,-0.000791666835,-0.0757271554321051,0.153486160561442,,-0.000791666835,2.12500094622374,
,,,-0.00075000017,-0.0757271554321051,0.153486160561442,,-0.00075000017,2.12500094622374,
,,,-0.000708333505,-0.0757271554321051,0.153486160561442,,-0.000708333505,2.12500094622374,
,,,-0.00066666684,-0.0757271554321051,0.153486160561442,,-0.00066666684,2.12500094622374,
,,,-0.000625000174999999,-0.0757271554321051,0.153486160561442,,-0.000625000174999999,2.12500094622374,
,,,-0.00058333351,-0.0757271554321051,0.153486160561442,,-0.00058333351,2.12500094622374,
,,,-0.000541666845,-0.0757271554321051,0.153486160561442,,-0.000541666845,2.12500094622374,
,,,-0.00050000018,-0.0757271554321051,0.153486160561442,,-0.00050000018,2.12500094622374,
,,,-0.000458333515,-0.080752280075103,0.153486160561442,,-0.000458333515,2.12500094622374,
,,,-0.00041666685,-0.0757271554321051,0.153486160561442,,-0.00041666685,2.12500094622374,
,,,-0.000375000185,-0.0757271554321051,0.153486160561442,,-0.000375000185,2.12500094622374,
,,,-0.00033333352,-0.0757271554321051,0.153486160561442,,-0.00033333352,2.12500094622374,
,,,-0.000291666855,-0.080752280075103,0.153486160561442,,-0.000291666855,2.12500094622374,
,,,-0.000250000189999999,-0.0757271554321051,0.153486160561442,,-0.000250000189999999,2.12500094622374,
,,,-0.000208333525,-0.0757271554321051,0.153486160561442,,-0.000208333525,2.12500094622374,
,,,-0.000166666859999999,-0.0757271554321051,0.153486160561442,,-0.000166666859999999,2.12500094622374,
,,,-0.000125000195,-0.0757271554321051,0.153486160561442,,-0.000125000195,2.12500094622374,
,,,-8.33335300000002E-05,-0.0757271554321051,0.153486160561442,,-8.33335300000002E-05,2.12500094622374,
,,,-4.16668649999997E-05,-0.0757271554321051,0.153486160561442,,-4.16668649999997E-05,2.12500094622374,
,,,-2.00000000068201E-10,7.6177386729978,1.016551477951,,-2.00000000068201E-10,6.59765666304156,
,,,4.16664650000004E-05,7.57251255121082,0.927355499006808,,4.16664650000004E-05,6.64062540791929,
,,,8.333313E-05,7.58758792513981,0.927355499006808,,8.333313E-05,6.65625040605664,
,,,0.000124999795,7.60266329906881,0.928611780400388,,0.000124999795,6.66796915465966,
,,,0.00016666646,7.6127135483548,0.927355499006808,,0.00016666646,6.67968790326267,
,,,0.000208333125000001,7.6177386729978,0.928611780400388,,0.000208333125000001,6.68359415279701,
,,,0.00024999979,7.6277889222838,0.927355499006808,,0.00024999979,6.69531290140003,
,,,0.000291666455000001,7.63783917156979,0.931124343187548,,0.000291666455000001,6.69921915093437,
,,,0.00033333312,7.64788942085579,0.931124343187548,,0.00033333312,6.71093789953738,
,,,0.000374999785,7.66296479478478,0.931124343187548,,0.000374999785,6.72656289767474,
,,,0.00041666645,7.67301504407078,0.929868061793968,,0.00041666645,6.73828164627776,
,,,0.000458333115,7.68306529335678,0.929868061793968,,0.000458333115,6.74609414534643,
,,,0.00049999978,7.69311554264277,0.931124343187548,,0.00049999978,6.75781289394945,
,,,0.000541666445,7.69814066728577,0.931124343187548,,0.000541666445,6.76171914348379,
,,,0.000583333110000001,7.70316579192877,0.931124343187548,,0.000583333110000001,6.76562539301813,
,,,0.000624999775,7.71321604121476,0.931124343187548,,0.000624999775,6.77734414162114,
,,,0.000666666440000001,7.72326629050076,0.931124343187548,,0.000666666440000001,6.78515664068982,
,,,0.000708333105,7.73834166442975,0.931124343187548,,0.000708333105,6.80078163882717,
,,,0.000749999770000001,7.74839191371575,0.931124343187548,,0.000749999770000001,6.81250038743019,
,,,0.000791666435,7.75844216300175,0.932380624581128,,0.000791666435,6.82031288649887,
,,,0.0008333331,7.76849241228774,0.932380624581128,,0.0008333331,6.83203163510188,
,,,0.000874999765,7.77854266157374,0.931124343187548,,0.000874999765,6.83984413417056,
,,,0.00091666643,7.78356778621674,0.931124343187548,,0.00091666643,6.84765663323924,
,,,0.000958333095000001,7.78859291085973,0.932380624581128,,0.000958333095000001,6.85156288277358,
,,,0.00099999976,7.79361803550273,0.931124343187548,,0.00099999976,6.85546913230792,
,,,0.001041666425,7.80366828478873,0.931124343187548,,0.001041666425,6.86718788091093,
,,,0.00108333309,7.81371853407472,0.931124343187548,,0.00108333309,6.87500037997961,
,,,0.001124999755,7.82879390800372,0.931124343187548,,0.001124999755,6.89062537811697,
,,,0.00116666642,7.83884415728971,0.931124343187548,,0.00116666642,6.90234412671998,
,,,0.001208333085,7.84386928193271,0.929868061793968,,0.001208333085,6.90625037625432,
,,,0.00124999975,7.85391953121871,0.929868061793968,,0.00124999975,6.91796912485734,
,,,0.001291666415,7.8639697805047,0.931124343187548,,0.001291666415,6.92578162392601,
,,,0.00133333308,7.8689949051477,0.929868061793968,,0.00133333308,6.93359412299469,
,,,0.001374999745,7.8740200297907,0.929868061793968,,0.001374999745,6.93750037252903,
,,,0.00141666641,7.8840702790767,0.929868061793968,,0.00141666641,6.94921912113205,
,,,0.001458333075,7.89412052836269,0.931124343187548,,0.001458333075,6.95703162020072,
