Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Serial Number:,MY54313426,,-1.99999999E-10,3.13407028431538,1.01278263377026,,-1.99999999E-10,2.12033678384614,
Firmware Version:,02.65.2021030741,,3.6458131900001E-05,3.01095470774453,0.94368715712335,,3.6458131900001E-05,2.06643054107553,
Start Time:,2023-03-01 15:39:46.525,,7.2916463800001E-05,3.01597983331885,0.94745600130409,,7.2916463800001E-05,2.06760241591837,
,,,0.000109374795700001,3.02100495889317,0.94745600130409,,0.000109374795700001,2.07268054023734,
Analog Sample Count:,960,,0.000145833127600001,3.02477380307391,0.94871228269767,,0.000145833127600001,2.07521960239683,
Function Sample Count:,960,,0.000182291459500001,3.02728636586107,0.94871228269767,,0.000182291459500001,2.07775866455631,
Waveform Memory Sample Count:,0,,0.000218749791400001,3.02854264725465,0.94871228269767,,0.000218749791400001,2.07893053939915,
Digital Sample Count:,0,,0.000255208123300001,3.03231149143539,0.94996856409125,,0.000255208123300001,2.08146960155864,
,,,0.000291666455200001,3.03608033561613,0.95122484548483,,0.000291666455200001,2.08400866371812,
Setup Text Information:,,,0.000328124787100001,3.03608033561613,0.94996856409125,,0.000328124787100001,2.08518053856096,
ANALOG,,,0.000364583119000001,3.03859289840329,0.952481126878411,,0.000364583119000001,2.08518053856096,
Channel 1,,,0.000401041450900001,3.03984917979687,0.95122484548483,,0.000401041450900001,2.08771960072045,
Scale,500 mV/,,0.000437499782800001,3.04236174258403,0.95122484548483,,0.000437499782800001,2.09025866287993,
Pos,3.07 V,,0.000473958114700001,3.04361802397761,0.952481126878411,,0.000473958114700001,2.09025866287993,
Coup,,,0.000510416446600001,3.04613058676478,0.952481126878411,,0.000510416446600001,2.09279772503942,
BW,Off,,0.000546874778500001,3.04738686815836,0.952481126878411,,0.000546874778500001,2.09396959988226,
Inv,Off,,0.000583333110400001,3.04864314955194,0.953737408271991,,0.000583333110400001,2.09396959988226,
Imp,1M Ohm,,0.000619791442300001,3.04989943094552,0.953737408271991,,0.000619791442300001,2.0953367871989,
Trace Label,1,,0.000656249774200001,3.04989943094552,0.953737408271991,,0.000656249774200001,2.0953367871989,
Probe,1,,0.000692708106100001,3.05366827512626,0.953737408271991,,0.000692708106100001,2.09904772420123,
Skew,0 s,,0.000729166438000001,3.05492455651984,0.954993689665571,,0.000729166438000001,2.09904772420123,
,,,0.000765624769900001,3.05618083791342,0.954993689665571,,0.000765624769900001,2.10021959904407,
Channel 2,,,0.000802083101800001,3.057437119307,0.954993689665571,,0.000802083101800001,2.10158678636071,
Scale,500 mV/,,0.000838541433700001,3.05869340070058,0.956249971059151,,0.000838541433700001,2.10158678636071,
Pos,2.70625 V,,0.000874999765600001,3.05994968209416,0.956249971059151,,0.000874999765600001,2.10275866120355,
Coup,,,0.000911458097500001,3.05994968209416,0.954993689665571,,0.000911458097500001,2.1041258485202,
BW,Off,,0.000947916429400001,3.06120596348774,0.956249971059151,,0.000947916429400001,2.1041258485202,
Inv,Off,,0.000984374761300001,3.06246224488132,0.954993689665571,,0.000984374761300001,2.10666491067968,
Imp,1M Ohm,,0.0010208330932,3.0637185262749,0.956249971059151,,0.0010208330932,2.10666491067968,
Trace Label,2,,0.0010572914251,3.06497480766848,0.956249971059151,,0.0010572914251,2.10783678552252,
Probe,1,,0.001093749757,3.06497480766848,0.956249971059151,,0.001093749757,2.10783678552252,
Skew,0 s,,0.0011302080889,3.06623108906206,0.957506252452731,,0.0011302080889,2.10783678552252,
,,,0.0011666664208,3.06748737045564,0.956249971059151,,0.0011666664208,2.11037584768201,
MATH,,,0.0012031247527,3.06874365184922,0.956249971059151,,0.0012031247527,2.11154772252485,
Ch 1-Ch 2,,,0.0012395830846,3.0699999332428,0.957506252452731,,0.0012395830846,2.11154772252485,
Scale,100 m/,,0.0012760414165,3.07125621463638,0.957506252452731,,0.0012760414165,2.11291490984149,
Offset,2.21604 ,,0.0013124997484,3.0699999332428,0.956249971059151,,0.0013124997484,2.11291490984149,
,,,0.0013489580803,3.07125621463638,0.957506252452731,,0.0013489580803,2.11291490984149,
REFERENCE WAVEFORM,,,0.0013854164122,3.07125621463638,0.957506252452731,,0.0013854164122,2.11291490984149,
TRIGGER,,,0.0014218747441,3.07376877742354,0.958762533846311,,0.0014218747441,2.11408678468433,
