Address:,USB0::0x0957::0x179B::MY54313426::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
Coup,,,-0.003958333375,-0.0757271554321051,0.153486160561442,,-0.003958333375,2.12500094622374,
BW,Off,,-0.00391666671,-0.080752280075103,0.153486160561442,,-0.00391666671,2.12500094622374,
Inv,Off,,-0.003875000045,-0.0757271554321051,0.153486160561442,,-0.003875000045,2.12500094622374,
Imp,1M Ohm,,-0.00383333338,-0.0757271554321051,0.153486160561442,,-0.00383333338,2.12500094622374,
Trace Label,2,,-0.003791666715,-0.0757271554321051,0.153486160561442,,-0.003791666715,2.12500094622374,
Probe,1,,-0.00375000005,-0.0757271554321051,0.153486160561442,,-0.00375000005,2.12500094622374,
Skew,0 s,,-0.003708333385,-0.0757271554321051,0.153486160561442,,-0.003708333385,2.12500094622374,
,,,-0.00366666672,-0.0757271554321051,0.153486160561442,,-0.00366666672,2.12500094622374,
MATH,,,-0.003625000055,-0.080752280075103,0.153486160561442,,-0.003625000055,2.12500094622374,
Ch 1-Ch 2,,,-0.00358333339,-0.0757271554321051,0.153486160561442,,-0.00358333339,2.12500094622374,
Scale,2 /,,-0.003541666725,-0.080752280075103,0.153486160561442,,-0.003541666725,2.12500094622374,
Offset,10.0625 ,,-0.00350000006,-0.0757271554321051,0.153486160561442,,-0.00350000006,2.12500094622374,
,,,-0.003458333395,-0.080752280075103,0.153486160561442,,-0.003458333395,2.12500094622374,
REFERENCE WAVEFORM,,,-0.00341666673,-0.0757271554321051,0.153486160561442,,-0.00341666673,2.12500094622374,
TRIGGER,,,-0.003375000065,-0.0757271554321051,0.153486160561442,,-0.003375000065,2.12500094622374,
Sweep Mode,AUTO,,-0.0033333334,-0.080752280075103,0.153486160561442,,-0.0033333334,2.12500094622374,
Coup,DC,,-0.003291666735,-0.0757271554321051,0.153486160561442,,-0.003291666735,2.12500094622374,
Noise Rej,Off,,-0.00325000007,-0.0757271554321051,0.153486160561442,,-0.00325000007,2.12500094622374,
HF Rej,Off,,-0.003208333405,-0.0757271554321051,0.153486160561442,,-0.003208333405,2.12500094622374,
Holdoff,40.0 ns,,-0.00316666674,-0.0757271554321051,0.153486160561442,,-0.00316666674,2.12500094622374,
Mode,EDGE,,-0.003125000075,-0.0757271554321051,0.153486160561442,,-0.003125000075,2.12500094622374,
Source,CHAN1,,-0.00308333341,-0.0757271554321051,0.153486160561442,,-0.00308333341,2.12500094622374,
Slope,POS,,-0.003041666745,-0.0757271554321051,0.153486160561442,,-0.003041666745,2.12500094622374,
Level,242.5 mV V,,-0.00300000008,-0.0757271554321051,0.153486160561442,,-0.00300000008,2.12500094622374,
,,,-0.002958333415,-0.080752280075103,0.153486160561442,,-0.002958333415,2.12500094622374,
HORIZONTAL,,,-0.00291666675,-0.080752280075103,0.153486160561442,,-0.00291666675,2.12500094622374,
Mode,MAIN,,-0.002875000085,-0.0757271554321051,0.153486160561442,,-0.002875000085,2.12500094622374,
Ref,CENT,,-0.00283333342,-0.0757271554321051,0.153486160561442,,-0.00283333342,2.12500094622374,
Main Scale,4 ms/,,-0.002791666755,-0.080752280075103,0.153486160561442,,-0.002791666755,2.12500094622374,
Main Delay,15 ms,,-0.00275000009,-0.080752280075103,0.153486160561442,,-0.00275000009,2.12500094622374,
,,,-0.002708333425,-0.0757271554321051,0.153486160561442,,-0.002708333425,2.12500094622374,
ACQUISITION,,,-0.00266666676,-0.0757271554321051,0.153486160561442,,-0.00266666676,2.12500094622374,
Mode,HRES,,-0.002625000095,-0.0757271554321051,0.153486160561442,,-0.002625000095,2.12500094622374,
RealTime,On,,-0.00258333343,-0.0757271554321051,0.153486160561442,,-0.00258333343,2.12500094622374,
Vectors,On,,-0.002541666765,-0.0757271554321051,0.153486160561442,,-0.002541666765,2.12500094622374,
Persistence,Off,,-0.0025000001,-0.0757271554321051,0.153486160561442,,-0.0025000001,2.12500094622374,
,,,-0.002458333435,-0.0757271554321051,0.153486160561442,,-0.002458333435,2.12500094622374,
,,,-0.00241666677,-0.0757271554321051,0.153486160561442,,-0.00241666677,2.12500094622374,
,,,-0.002375000105,-0.0757271554321051,0.153486160561442,,-0.002375000105,2.12500094622374,
,,,-0.00233333344,-0.080752280075103,0.153486160561442,,-0.00233333344,2.12500094622374,
,,,-0.002291666775,-0.0757271554321051,0.153486160561442,,-0.002291666775,2.12500094622374,
,,,-0.00225000011,-0.080752280075103,0.153486160561442,,-0.00225000011,2.12500094622374,
,,,-0.002208333445,-0.0757271554321051,0.153486160561442,,-0.002208333445,2.12500094622374,
,,,-0.00216666678,-0.080752280075103,0.153486160561442,,-0.00216666678,2.12500094622374,
,,,-0.002125000115,-0.080752280075103,0.153486160561442,,-0.002125000115,2.12500094622374,
,,,-0.00208333345,-0.080752280075103,0.153486160561442,,-0.00208333345,2.12500094622374,
,,,-0.002041666785,-0.0757271554321051,0.153486160561442,,-0.002041666785,2.12500094622374,
,,,-0.00200000012,-0.080752280075103,0.153486160561442,,-0.00200000012,2.12500094622374,
,,,-0.001958333455,-0.0757271554321051,0.153486160561442,,-0.001958333455,2.12500094622374,
,,,-0.00191666679,-0.0757271554321051,0.153486160561442,,-0.00191666679,2.12500094622374,
,,,-0.001875000125,-0.0757271554321051,0.153486160561442,,-0.001875000125,2.12500094622374,
,,,-0.00183333346,-0.080752280075103,0.153486160561442,,-0.00183333346,2.12500094622374,
,,,-0.001791666795,-0.085777404718101,0.153486160561442,,-0.001791666795,2.12500094622374,
,,,-0.00175000013,-0.080752280075103,0.153486160561442,,-0.00175000013,2.12500094622374,
